neighborhoodName,categoriesName,name,distance,formattedAddress,lat,lng,id
"The Annex, North Midtown, Yorkville",Indian Restaurant,Aroma Fine Indian Restaurant,3194,"['287 King St. W (at John St.)', 'Toronto ON M5V 1J5', 'Canada']",43.646462521503445,-79.38964414801342,4aef8854f964a5201cd921e3
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",Indian Restaurant,Aroma Fine Indian Restaurant,4525,"['287 King St. W (at John St.)', 'Toronto ON M5V 1J5', 'Canada']",43.646462521503445,-79.38964414801342,4aef8854f964a5201cd921e3
"Moore Park, Summerhill East",Indian Restaurant,Aroma Fine Indian Restaurant,4827,"['287 King St. W (at John St.)', 'Toronto ON M5V 1J5', 'Canada']",43.646462521503445,-79.38964414801342,4aef8854f964a5201cd921e3
"Forest Hill North, Forest Hill West",Indian Restaurant,Aroma Fine Indian Restaurant,5884,"['287 King St. W (at John St.)', 'Toronto ON M5V 1J5', 'Canada']",43.646462521503445,-79.38964414801342,4aef8854f964a5201cd921e3
Davisville,Indian Restaurant,Banjara Indian Cuisine,531,"['164 Eglinton Ave E (at Redpath Ave)', 'Toronto ON', 'Canada']",43.7078104847312,-79.3932956275409,4b7ccc72f964a520e3a52fe3
Davisville North,Indian Restaurant,Banjara Indian Cuisine,603,"['164 Eglinton Ave E (at Redpath Ave)', 'Toronto ON', 'Canada']",43.7078104847312,-79.3932956275409,4b7ccc72f964a520e3a52fe3
North Toronto West,Indian Restaurant,Banjara Indian Cuisine,1305,"['164 Eglinton Ave E (at Redpath Ave)', 'Toronto ON', 'Canada']",43.7078104847312,-79.3932956275409,4b7ccc72f964a520e3a52fe3
"Forest Hill North, Forest Hill West",Indian Restaurant,Banjara Indian Cuisine,1887,"['164 Eglinton Ave E (at Redpath Ave)', 'Toronto ON', 'Canada']",43.7078104847312,-79.3932956275409,4b7ccc72f964a520e3a52fe3
Roselawn,Indian Restaurant,Banjara Indian Cuisine,1950,"['164 Eglinton Ave E (at Redpath Ave)', 'Toronto ON', 'Canada']",43.7078104847312,-79.3932956275409,4b7ccc72f964a520e3a52fe3
"Moore Park, Summerhill East",Indian Restaurant,Banjara Indian Cuisine,2187,"['164 Eglinton Ave E (at Redpath Ave)', 'Toronto ON', 'Canada']",43.7078104847312,-79.3932956275409,4b7ccc72f964a520e3a52fe3
Lawrence Park,Indian Restaurant,Banjara Indian Cuisine,2278,"['164 Eglinton Ave E (at Redpath Ave)', 'Toronto ON', 'Canada']",43.7078104847312,-79.3932956275409,4b7ccc72f964a520e3a52fe3
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",Indian Restaurant,Banjara Indian Cuisine,2443,"['164 Eglinton Ave E (at Redpath Ave)', 'Toronto ON', 'Canada']",43.7078104847312,-79.3932956275409,4b7ccc72f964a520e3a52fe3
"The Annex, North Midtown, Yorkville",Indian Restaurant,Bhoj Indian Cuisine,1337,"['21 Davenport Rd', 'Toronto ON M5R 1H2', 'Canada']",43.672764564316296,-79.3890631198883,56c743c7498e7033ff262ce2
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",Indian Restaurant,Bhoj Indian Cuisine,1757,"['21 Davenport Rd', 'Toronto ON M5R 1H2', 'Canada']",43.672764564316296,-79.3890631198883,56c743c7498e7033ff262ce2
"Moore Park, Summerhill East",Indian Restaurant,Bhoj Indian Cuisine,1930,"['21 Davenport Rd', 'Toronto ON M5R 1H2', 'Canada']",43.672764564316296,-79.3890631198883,56c743c7498e7033ff262ce2
"Forest Hill North, Forest Hill West",Indian Restaurant,Bhoj Indian Cuisine,3233,"['21 Davenport Rd', 'Toronto ON M5R 1H2', 'Canada']",43.672764564316296,-79.3890631198883,56c743c7498e7033ff262ce2
Davisville,Indian Restaurant,Bhoj Indian Cuisine,3513,"['21 Davenport Rd', 'Toronto ON M5R 1H2', 'Canada']",43.672764564316296,-79.3890631198883,56c743c7498e7033ff262ce2
Davisville North,Indian Restaurant,Bhoj Indian Cuisine,4452,"['21 Davenport Rd', 'Toronto ON M5R 1H2', 'Canada']",43.672764564316296,-79.3890631198883,56c743c7498e7033ff262ce2
